id,Zip Code,area,age_con,sex,ethnicity,,,,,,,q44,q45,q46,q48,q50,q51_1,q51_2,q51_3,q52_1,,q52_2,,q52_3,,q52_4,,q52_5,,q52_6,,q52_7,,q52_8,,q52_9,,q52_10,,,sts,trust,conspiracy,complexity,open,conscie,extrav,agreeab,neuro
1457,0,urban,70,Male,White/Caucasian,7,5,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,Corruption by the GOP,tRump pushing to establish himself as a dictator,"The attack on our capital, lead by the outgoing president. tRump",Medium impact,2,Medium impact,2,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,22,2.3333333,6,14,13,12,9,12,16
1458,85224,urban,63,Female,White/Caucasian,4,6,2,Seperated,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Pandemic,Misinformation,Climate,Low impact,1,Medium impact,2,High impact,3,No impact,0,High impact,3,High impact,3,No impact,0,No impact,0,Low impact,1,No impact,0,4,32,4.3333335,8,18,18,21,20,12,20
1459,85648,rural,55,Male,Hispanic,5,5,5,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,Inflation,,,Low impact,1,Low impact,1,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,8,24,2,9,16,13,17,12,16,10
1460,85202,urban,46,Male,White/Caucasian,4,5,2,Single,Employed Part-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,inflation,unemployment,,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,No impact,0,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,No impact,0,5,24,2.3333333,5,15,11,11,11,13,11
1461,85283,urban,39,Female,White/Caucasian,6,5,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,None,None,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,Low impact,1,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,31,4,7,15,11,19,10,14,10
1464,85040,urban,43,Female,White/Caucasian,1,1,6,Married or Partnered,Other,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Economy,,,High impact,3,No impact,0,Low impact,1,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,15,1.6666666,15,13,17,21,8,18,15
1465,85008,urban,52,Female,White/Caucasian,1,2,1,Seperated,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,None,,,Medium impact,2,No impact,0,Low impact,1,Medium impact,2,No impact,0,Low impact,1,No impact,0,Medium impact,2,No impact,0,No impact,0,3,16,1.3333334,8,13,21,18,18,15,21
1466,85712,urban,34,Male,White/Caucasian,1,5,1,Single,Unemployed,3,Did not vote,That the people elect the respective head of state in free elections,Democracy,Autocracy,Autocracy,Inflation,Stock Market Decline,,Medium impact,2,No impact,0,Medium impact,2,Low impact,1,Medium impact,2,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,12,2,5,15,14,17,11,15,10
1468,86409,rural,76,Male,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,none,,,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,Medium impact,2,Medium impact,2,7,13,3,10,14,12,14,7,10,5
1469,85304,urban,81,Male,White/Caucasian,4,5,1,Widowed,Retired,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,inflation,cost of living,,High impact,3,High impact,3,Low impact,1,No impact,0,No impact,0,Low impact,1,Low impact,1,No impact,0,Low impact,1,Low impact,1,4,25,3.6666667,8,12,13,16,14,16,6
1470,85284,urban,52,Male,White/Caucasian,9,5,3,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Best friend went through a breakup,,,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,34,2.3333333,14,7,21,21,18,21,6
1471,86004,urban,72,Female,White/Caucasian,6,2,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,None,,,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,19,3,7,14,14,13,14,10,12
1472,85735,rural,76,Female,White/Caucasian,7,5,3,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,High gas prices,High taxes,Lock downstairs and mandatory masks,High impact,3,Medium impact,2,No impact,0,High impact,3,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,High impact,3,10,32,2.3333333,11,10,19,20,20,14,11
1474,85364,urban,48,Female,White/Caucasian,1,2,2,Single,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid 19,,,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,No impact,0,Low impact,1,Medium impact,2,No impact,0,Low impact,1,4,26,3,10,17,14,14,11,14,21
1476,85730,urban,18,Female,White/Caucasian,8,2,4,Single,Employed Part-time,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Pandemic,,,Low impact,1,Medium impact,2,Medium impact,2,Low impact,1,High impact,3,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,10,20,3,12,11,10,13,14,16,19
1478,85718,rural,56,Female,White/Caucasian,9,5,2,Married or Partnered,Employed Part-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid19,,,Medium impact,2,Low impact,1,Medium impact,2,No impact,0,No impact,0,No impact,0,Medium impact,2,High impact,3,No impact,0,No impact,0,5,32,5,8,19,14,19,9,19,12
1480,85201,urban,43,Female,White/Caucasian,6,5,2,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid-19,Inflation,,High impact,3,Low impact,1,Low impact,1,No impact,0,Low impact,1,Low impact,1,No impact,0,Medium impact,2,Low impact,1,Low impact,1,5,19,2.3333333,6,12,15,16,8,12,19
1483,85248,urban,24,Male,Black/African-American,2,2,2,Married or Partnered,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,COVID 19,Gas prices,,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,No impact,0,No impact,0,High impact,3,Medium impact,2,No impact,0,No impact,0,5,20,2.6666667,11,12,21,21,21,21,5
1485,85297,urban,74,Male,White/Caucasian,10,6,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Donald Trump,Covid 19,Inflation,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,High impact,3,Low impact,1,Low impact,1,8,28,4,8,15,12,19,16,16,9
1486,85255,urban,77,Female,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,covid,,,Low impact,1,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,19,4.3333335,7,14,14,17,14,17,6
1487,85735,urban,60,Female,Hispanic,1,3,1,Seperated,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Rising cost of gas,Governor not distributing government fund like California and New Mexico,,Medium impact,2,High impact,3,No impact,0,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,11,13,1,10,14,13,15,6,20,17
1489,85087,rural,56,Female,White/Caucasian,7,4,3,Widowed,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,None,,,High impact,3,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,7,24,4.3333335,10,13,18,19,19,14,11
1490,85021,urban,52,Male,White/Caucasian,3,4,4,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Climate change,,,High impact,3,Medium impact,2,Medium impact,2,High impact,3,Low impact,1,Low impact,1,High impact,3,Medium impact,2,High impact,3,Medium impact,2,11,32,4,19,18,19,15,13,13,14
1493,85658,urban,20,Female,Hispanic,1,2,6,Single,Other,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,I donât know,,,High impact,3,Medium impact,2,Low impact,1,Low impact,1,No impact,0,No impact,0,High impact,3,High impact,3,No impact,0,No impact,0,6,25,3,11,14,18,16,16,17,12
1495,85032,urban,47,Female,White/Caucasian,9,5,1,Single,Employed Full-time,2,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,None,,,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,22,5,11,15,18,18,14,18,6
1496,86442,urban,33,Male,White/Caucasian,4,3,1,Single,Other,0,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,The wildfires,,,Medium impact,2,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,High impact,3,High impact,3,High impact,3,Medium impact,2,13,21,2,13,15,19,19,14,17,13
1497,85721,urban,23,Male,White/Caucasian,1,2,3,Single,Employed Part-time,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,Unemployment,,Low impact,1,Medium impact,2,Medium impact,2,No impact,0,No impact,0,No impact,0,Medium impact,2,Low impact,1,No impact,0,Low impact,1,4,27,3.3333333,5,15,14,16,13,15,10
1498,85249,urban,27,Male,Black/African-American,9,3,3,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,"Global Warming, it was unbearable to do anything outside for a while in Arizona",Financial issues,,Medium impact,2,No impact,0,Medium impact,2,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,Medium impact,2,3,25,3.3333333,6,16,9,18,6,21,11
1499,85296,urban,71,Male,White/Caucasian,7,3,2,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,Biden Obama,,,High impact,3,Medium impact,2,No impact,0,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,9,26,1.3333334,9,7,16,16,14,13,15
1501,86429,urban,69,Female,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,intense heat for more than 40 days,,,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,No impact,0,No impact,0,Low impact,1,Low impact,1,Low impact,1,3,21,3.6666667,5,13,16,20,13,20,5
1504,85022,rural,27,Male,White/Caucasian,4,4,3,Single,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,Covid-19,The wildfires in Hawaii,Climate change,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,High impact,3,Medium impact,2,High impact,3,High impact,3,High impact,3,High impact,3,14,21,3.6666667,10,16,21,20,15,20,4
1505,85032,urban,62,Male,White/Caucasian,8,5,2,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Intense summer heat,,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,No impact,0,Low impact,1,No impact,0,Low impact,1,2,28,2.3333333,5,16,13,20,9,17,10
1506,85324,urban,26,Female,Black/African-American,1,2,4,Married or Partnered,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,People getting sick,,,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,15,32,1.3333334,14,18,15,19,15,21,21
1509,85716,urban,50,Male,White/Caucasian,6,5,1,Single,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Inflation,Climate Change,Oil prices,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,No impact,0,Medium impact,2,Low impact,1,Low impact,1,No impact,0,Medium impact,2,6,29,2.6666667,8,18,20,12,12,11,15
1510,85013,urban,42,Male,White/Caucasian,8,6,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,None,,,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,22,3.6666667,8,18,15,18,12,15,9
1511,85719,rural,49,Male,Hispanic,9,6,3,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Neither,Ukraine,,,High impact,3,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,High impact,3,9,17,2.6666667,8,14,12,14,13,16,10
1512,85339,urban,25,Male,Native American,2,3,4,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Democracy,Economy,Covid19,,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Medium impact,2,No impact,0,No impact,0,No impact,0,2,21,1,16,14,17,16,10,14,11
1514,85015,urban,67,Male,Black/African-American,2,4,1,Widowed,Unemployed,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,climate change - excessive heat,inflation,wildfires,Medium impact,2,Low impact,1,High impact,3,Low impact,1,No impact,0,Medium impact,2,No impact,0,Low impact,1,Low impact,1,No impact,0,4,21,2.3333333,5,13,19,12,15,13,12
1515,85033,urban,72,Female,Black/African-American,1,3,1,Widowed,Retired,3,Democratic (Ruling Party),That there is no great gap between rich and poor,Democracy,Democracy,Democracy,Immagration Over flow.,Prices rising too high.,Lot`s of Gun violence,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,High impact,3,High impact,3,High impact,3,High impact,3,High impact,3,15,29,2.6666667,8,16,21,21,16,16,15
1516,85375,urban,68,Female,White/Caucasian,3,6,2,Married or Partnered,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,None,None1,None2,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,18,3,7,6,12,12,12,13,10
1517,85224,urban,22,Female,Other,1,2,3,Single,Unemployed,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,Covid-19,,,Low impact,1,Low impact,1,Low impact,1,No impact,0,No impact,0,No impact,0,Low impact,1,Low impact,1,No impact,0,No impact,0,2,14,4,7,11,18,14,12,15,13
1518,85204,urban,27,Female,Hispanic,5,4,6,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,"Gas prices, housing",,,High impact,3,High impact,3,High impact,3,Low impact,1,No impact,0,Low impact,1,High impact,3,Low impact,1,No impact,0,Medium impact,2,7,11,1.3333334,8,15,18,20,10,13,13
1519,85283,urban,41,Female,White/Caucasian,1,3,1,Married or Partnered,Unemployed,0,Did not vote,That there is no great gap between rich and poor,Autocracy,Democracy,Democracy,None,,,Medium impact,2,Low impact,1,Low impact,1,No impact,0,No impact,0,Medium impact,2,Low impact,1,Low impact,1,No impact,0,No impact,0,4,29,1.6666666,15,15,15,15,10,12,11
1520,85716,urban,25,Female,Hispanic,5,5,2,Married or Partnered,Other,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Covid-19,Recession,Inflation,High impact,3,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,High impact,3,Low impact,1,Low impact,1,8,27,2.6666667,9,13,12,19,11,17,12
1521,85374,rural,37,Male,White/Caucasian,5,4,4,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That there is no great gap between rich and poor,Democracy,Autocracy,Neither,Loss job its made it hard to find another one,,,High impact,3,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,11,28,3,10,15,21,21,15,21,12
1522,85140,rural,74,Male,White/Caucasian,8,3,2,Married or Partnered,Retired,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Autocracy,Neither,lahania fire,woke idealogy,"illegals, crime and rampant government abuse",High impact,3,High impact,3,Low impact,1,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,No impact,0,Low impact,1,5,20,3.6666667,8,7,13,11,15,12,10
1523,85044,urban,68,Male,White/Caucasian,8,5,2,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Autocracy,The fire in Hawaii,The Hurricane in Florida and Georgia,The constant crisis at the border,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,5,25,4,9,10,14,19,14,18,7
1524,86333,rural,32,Female,Other,5,3,2,Married or Partnered,Other,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,Climate change,Economic crisis,Women's rights,High impact,3,High impact,3,High impact,3,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,9,24,2.3333333,12,13,15,15,11,14,20
1526,86322,rural,59,Male,Native American,7,6,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,Election issues,Covid,Economy,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Low impact,1,Medium impact,2,No impact,0,Medium impact,2,Low impact,1,No impact,0,5,26,3.6666667,7,17,15,15,17,13,9
1527,85742,urban,55,Male,White/Caucasian,8,6,4,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,Being alone,,,Low impact,1,Low impact,1,No impact,0,No impact,0,Medium impact,2,Low impact,1,No impact,0,Low impact,1,Low impact,1,Low impact,1,4,36,5,8,7,16,18,20,19,10
1528,85006,urban,41,Male,Hispanic,2,2,5,Single,Employed Full-time,2,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,Inflation,,,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,High impact,3,No impact,0,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,5,15,2.6666667,11,13,7,9,13,14,11
1529,85715,urban,26,Female,Black/African-American,1,3,3,Single,Employed Full-time,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,I havenât been affected,,,High impact,3,High impact,3,High impact,3,High impact,3,Medium impact,2,Medium impact,2,High impact,3,High impact,3,Low impact,1,High impact,3,12,20,3,12,13,19,14,18,19,12
1530,85712,urban,43,Male,Asian,8,6,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Extreme weather,,,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,6,26,2,5,17,14,15,9,13,10
1532,85138,rural,61,Female,White/Caucasian,8,3,4,Widowed,Retired,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,Fires,Government,,Low impact,1,Medium impact,2,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,High impact,3,No impact,0,No impact,0,6,28,5,8,14,21,21,19,20,7
1533,86336,rural,62,Male,White/Caucasian,6,5,2,Married or Partnered,Retired,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,illegal immigration,,,Low impact,1,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,Low impact,1,2,22,2.3333333,5,12,5,21,15,9,4
1534,85142,rural,36,Female,Black/African-American,7,4,5,Seperated,Employed Part-time,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Corona virus pandemic,Black Lives Matter Movement and hate crimes on blacks,,High impact,3,High impact,3,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,High impact,3,Low impact,1,No impact,0,7,25,1,12,14,19,19,10,20,14
1535,85714,rural,27,Female,Hispanic,4,3,5,Single,Employed Full-time,1,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,Nothing has happened,,,Medium impact,2,No impact,0,Low impact,1,No impact,0,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Low impact,1,6,25,3,9,15,21,18,10,21,15
1536,85282,urban,39,Male,Hispanic,6,2,6,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,Covid,Immigration,Cost of living,Medium impact,2,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,Low impact,1,Medium impact,2,Low impact,1,7,25,4,8,14,21,18,13,20,4
1537,85367,urban,52,Female,White/Caucasian,3,2,2,Married or Partnered,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,none,,,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,Low impact,1,Low impact,1,No impact,0,No impact,0,2,34,4.3333335,8,13,13,21,6,20,20
1538,85335,urban,26,Male,White/Caucasian,5,2,4,Single,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,None,,,High impact,3,High impact,3,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,18,3,7,13,18,20,20,19,10
