Respondent ID,Respondant Zip Code,Urban or Rural,Age,Gender,Ethnicity,Income Re-scaled see document for re-scaling,Education Re-scaled see document for rescaling,Household size Re-scaled see document for rescaling,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled see document for rescaling,"Last Election: Didn't Vote 0, Democrat 1, Republican 2",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled: 0=no impact 3=high impact,Energy Crisis Re-scaled 0=no impact 3=high impact,Climate Change Re-scaled 0=no impact 3=high impact,Lack of Natural Resources Re-scaled 0=no impact 3=high impact,Militarty Conflicts Re-scaled 0=no impact 3=high impact,Interstate Conflicts Re-scaled 0=no impact 3=high impact,Employment and Livelihood Re-scaled 0=no impact 3=high impact,Infectious Disease Re-scaled 0=no impact 3=high impact,AI Re-scaled 0=no impact 3=high impact,Cybersecurity Re-scaled 0=no impact 3=high impact,Composite Crisis Score (Sum of all Crisis Scores),Systems Thinking Score 0-36,Trust Score 1-5,Conspiracy 5-20,Complexity 5-20,Openness 3-21,Conscienciousness 3-21,Extroversion 3-21,Agreeableness 3-21,Neuroticism 3-21
2354,85364,Urban,37,Male,Black,5,3,6,Single,Other,1,0,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,27,2.6666667,10,17,15,19,13,17,10
2117,85119,Rural,36,Female,White,1,2,2,Widowed,Unemployed,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,36,3.6666667,11,17,15,15,15,21,21
1506,85324,Urban,26,Female,Black,1,2,4,Married,Employed Full-time,0,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,32,1.3333334,14,18,15,19,15,21,21
2045,85122,Rural,57,Female,White,4,3,1,Single,Other,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,1,3,3,3,3,3,28,34,3,6,15,16,14,14,16,13
2002,85286,Urban,28,Male,Asian,4,2,5,Single,Unemployed,2,0,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,21,3.6666667,14,13,16,17,19,18,9
2691,85255,Urban,57,Female,White,9,4,2,Married,Employed Full-time,2,1,That there is no great gap between rich and poor,Democracy,Neither,Democracy,2,3,3,3,3,3,3,3,3,3,29,35,1.6666666,8,15,18,19,17,18,20
2820,85248,Urban,76,Female,White,6,5,2,Married,Retired,2,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,30,1.3333334,8,18,20,21,17,12,15
2474,85087,Rural,34,Male,Hispanic,4,5,1,Single,Employed Full-time,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,3,3,3,3,3,3,3,3,3,3,30,26,2,11,10,20,15,13,13,14
2412,85016,Rural,29,Male,White,2,2,1,Single,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,30,2,13,15,20,18,14,21,14
1515,85033,Urban,72,Female,Black,1,3,1,Widowed,Retired,3,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,3,3,2,3,3,3,3,3,29,29,2.6666667,8,16,21,21,16,16,15
1990,85122,Rural,41,Female,Black,5,4,3,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,34,3,9,15,21,21,14,19,3
2777,85350,Urban,41,Male,Hispanic,4,4,6,Married,Employed Full-time,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,29,2,10,15,21,21,21,15,3
2736,85937,Rural,33,Female,White,7,0,6,Married,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,32,2.3333333,10,14,21,21,15,21,7
2174,85142,Urban,52,Female,Hispanic,1,3,1,Single,Unemployed,0,2,That there is a well-functioning social system,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,36,2.3333333,20,17,21,21,21,21,3
1951,85621,Urban,37,Male,Hispanic,1,2,1,Single,Unemployed,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,35,3.6666667,20,14,21,15,15,15,15
2871,85929,Urban,35,Male,White,10,6,3,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,36,3.6666667,20,20,21,21,15,15,3
2189,85748,Urban,32,Male,Hispanic,5,2,1,Single,Employed Full-time,3,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,36,3.6666667,20,14,21,21,15,21,3
2755,85035,Urban,27,Male,Hispanic,1,2,1,Single,Unemployed,2,0,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,3,3,3,3,2,3,3,3,29,26,2.6666667,12,11,9,12,14,17,7
2266,85050,Urban,56,Female,White,4,4,4,Married,Employed Part-time,1,0,That the people elect the respective head of state in free elections,Autocracy,Autocracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,24,2,12,16,11,14,15,16,16
1886,85209,Urban,51,Female,White,7,6,1,Single,Employed Full-time,1,1,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,3,3,2,2,3,3,2,3,3,26,18,4,5,14,15,18,19,17,8
2235,85209,Urban,54,Female,Asian,8,6,1,Seperated,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,36,2.3333333,8,14,15,21,7,15,8
1709,85705,Urban,35,Male,White,5,2,4,Married,Employed Full-time,2,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,2,2,2,3,2,3,2,3,3,3,25,27,3,12,13,15,12,13,13,13
1968,85756,Urban,60,Female,White,4,3,2,Seperated,Unemployed,0,2,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,2,0,0,2,3,3,3,2,3,21,27,2.3333333,16,8,15,17,6,12,15
2739,85730,Urban,43,Male,White,2,3,6,Married,Unemployed,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,22,3,5,16,16,11,10,15,16
1698,85022,Urban,35,Male,White,8,5,3,Married,Employed Full-time,2,1,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,1,3,2,1,3,3,3,3,2,23,27,3.3333333,5,17,16,14,15,16,19
2810,85326,Urban,19,Male,White,7,2,3,Married,Employed Full-time,1,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Neither,3,3,2,2,2,3,3,3,3,2,26,31,3.3333333,15,11,16,21,13,15,7
1773,85008,Urban,27,Female,Hispanic,1,2,3,Seperated,Employed Part-time,2,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,2,3,3,3,3,3,2,3,28,24,1,8,14,17,21,15,16,14
2187,85037,Urban,35,Male,Hispanic,4,3,6,Married,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,3,3,2,3,3,3,3,29,29,2.3333333,14,15,17,18,21,10,6
2021,85282,Urban,43,Male,Hispanic,6,2,2,Single,Unemployed,2,1,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Autocracy,3,3,3,3,3,3,3,3,2,3,29,23,3,9,12,18,20,14,19,4
2662,85037,Urban,61,Female,White,8,5,3,Widowed,Employed Full-time,0,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Neither,3,3,3,3,3,3,3,3,2,3,29,28,2.6666667,16,16,18,21,17,19,7
2240,85353,Urban,18,Female,Hispanic,3,3,3,Single,Unemployed,1,0,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,2,3,2,3,2,3,3,3,3,27,27,1.6666666,5,16,19,12,15,19,15
2783,85296,Urban,39,Female,White,4,4,3,Single,Employed Full-time,0,0,That I can determine directly/by myself what happens in my country,Autocracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,2,29,25,3,9,10,19,21,17,21,6
2787,86403,Urban,57,Female,White,6,5,2,Married,Retired,1,2,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,1,2,3,3,2,3,3,3,26,24,3.6666667,11,10,19,21,18,20,5
2748,85635,Rural,34,Female,White,3,3,1,Single,Employed Full-time,1,2,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,2,3,2,3,3,2,3,3,3,3,27,26,2.6666667,14,8,19,18,16,20,18
2025,85202,Rural,22,Male,White,5,2,2,Single,Employed Full-time,1,1,That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,2,3,1,0,3,3,3,2,3,23,31,1.6666666,15,17,20,19,18,19,17
1846,85003,Urban,49,Male,White,8,5,3,Married,Employed Full-time,1,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,3,3,3,3,3,3,2,27,34,3.3333333,18,17,20,21,20,15,4
2877,85001,Urban,38,Male,White,10,6,4,Married,Employed Full-time,3,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Democracy,3,3,2,3,3,2,3,3,3,3,28,28,3.3333333,10,20,21,15,15,21,7
1504,85022,Rural,27,Male,White,4,4,3,Single,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,2,2,3,2,3,2,3,3,3,3,26,21,3.6666667,10,16,21,20,15,20,4
2490,85392,Urban,29,Female,White,3,2,1,Single,Unemployed,0,1,That the people elect the respective head of state in free elections,Democracy,Autocracy,Neither,3,3,1,3,2,3,3,3,2,3,26,34,3.6666667,14,11,21,18,14,18,18
1716,85007,Urban,68,Male,White,3,2,1,Single,Retired,3,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Democracy,3,3,3,3,3,3,2,3,2,3,28,14,2,10,15,6,13,11,14,10
2184,85339,Urban,26,Female,White,4,2,4,Single,Unemployed,1,0,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,3,3,2,3,3,3,2,2,27,26,3,5,17,13,18,12,16,10
1620,85712,Urban,69,Female,Asian,7,6,3,Married,Employed Full-time,0,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,3,2,1,2,2,3,3,3,23,11,3,8,16,14,15,13,13,12
2310,85257,Urban,52,Female,White,2,4,1,Single,Unemployed,1,1,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,3,3,3,3,3,3,3,3,2,2,28,26,4,5,14,15,18,16,19,12
2503,85002,Urban,36,Male,White,9,6,4,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,2,2,2,2,2,3,3,3,2,24,30,2.6666667,11,15,15,19,12,18,9
2165,85224,Urban,40,Male,White,3,2,4,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Autocracy,3,3,3,2,2,3,2,2,3,3,26,19,3,12,12,15,12,15,12,16
2288,85006,Urban,48,Male,Hispanic,3,2,2,Seperated,Employed Part-time,1,1,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,3,3,3,2,3,2,3,2,3,26,21,2.6666667,13,14,15,14,15,16,11
1833,85013,Urban,53,Male,White,8,5,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,3,3,1,2,3,3,3,1,3,25,29,4.3333335,6,13,16,18,19,14,17
1547,85122,Rural,51,Male,Hispanic,6,2,1,Seperated,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,3,3,2,3,28,22,2.6666667,12,15,17,20,15,19,6
2874,85338,Urban,29,Male,Asian,1,3,6,Single,Other,0,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,2,2,3,3,3,2,3,3,2,26,30,3.3333333,13,14,17,18,17,16,11
2496,85255,Urban,58,Male,White,8,5,1,Single,Retired,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,2,3,2,3,3,1,3,3,3,24,31,1,5,18,18,20,18,20,13
2678,85142,Urban,22,Male,Hispanic,1,2,1,Single,Employed Full-time,1,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,3,3,3,3,2,3,3,3,2,28,29,2.6666667,7,14,18,20,15,21,7
1865,85122,Urban,57,Female,White,3,5,6,Seperated,Unemployed,1,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,2,1,3,2,3,2,3,22,33,3.3333333,11,15,18,19,11,16,14
2527,85008,Urban,42,Male,White,10,5,5,Married,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Democracy,Democracy,3,2,2,2,2,3,2,3,3,2,24,27,4,11,17,18,18,19,19,12
1496,86442,Urban,33,Male,White,4,3,1,Single,Other,0,0,That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,2,3,3,3,3,2,3,3,3,2,27,21,2,13,15,19,19,14,17,13
2781,85285,Urban,25,Male,Asian,4,6,2,Married,Employed Full-time,3,2,That the people elect the respective head of state in free elections,Autocracy,Democracy,Autocracy,3,3,3,3,3,2,3,3,2,3,28,27,3,7,15,20,18,12,19,7
2250,86047,Rural,18,Male,Native American,5,2,4,Single,Employed Full-time,1,2,That there is no great gap between rich and poor,Democracy,Democracy,Neither,3,3,2,3,2,2,3,3,2,3,26,29,3.6666667,16,17,20,20,14,17,10
2522,86042,Urban,36,Male,White,10,6,4,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,2,2,3,3,2,3,27,31,3.3333333,19,18,20,15,14,18,11
2032,85083,Urban,33,Male,White,10,6,4,Married,Employed Part-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,3,3,2,3,28,30,2.6666667,9,16,21,20,17,18,8
2549,85926,Urban,35,Male,White,10,6,6,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,2,1,3,3,1,3,3,25,17,3.6666667,19,17,21,21,21,15,7
1901,85210,Urban,38,Male,White,10,6,5,Married,Employed Full-time,3,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,3,2,2,3,2,3,3,24,31,4.6666665,19,17,21,12,12,12,6
2231,85706,Urban,35,Female,Hispanic,6,3,5,Married,Employed Full-time,1,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,2,3,2,1,3,3,3,1,2,23,19,3.6666667,8,12,7,16,17,18,19
2224,85304,Urban,53,Female,Asian,1,3,1,Single,Unemployed,1,2,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,2,3,2,2,3,3,2,2,25,18,2.3333333,10,13,9,9,6,19,12
1605,85353,Urban,23,Female,Black,1,2,6,Married,Employed Full-time,2,2,That I can determine directly/by myself what happens in my country,Autocracy,Democracy,Autocracy,2,2,0,2,2,3,2,3,3,1,20,31,2.3333333,18,16,9,9,4,21,15
2038,86442,Rural,64,Female,White,6,2,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,2,2,2,2,3,2,3,24,30,2.3333333,5,12,12,21,15,16,14
2615,85120,Rural,53,Female,White,1,3,3,Seperated,Unemployed,1,0,That there is no great gap between rich and poor,Autocracy,Neither,Neither,2,2,3,3,2,2,2,3,3,2,24,18,3.6666667,14,14,12,14,16,13,19
1808,85044,Urban,38,Female,White,4,4,3,Single,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Democracy,Democracy,3,2,3,3,2,2,3,3,3,1,25,26,3.6666667,5,12,13,19,17,19,14
2297,85120,Urban,73,Female,White,5,3,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,1,3,3,3,27,22,4.3333335,6,15,13,17,19,18,16
1938,85008,Urban,47,Male,Hispanic,5,4,4,Single,Employed Full-time,2,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,2,3,2,2,3,3,2,2,25,18,3,9,9,13,12,7,19,9
2791,85716,Rural,44,Male,White,1,2,3,Married,Employed Part-time,2,0,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,2,1,2,2,2,3,3,2,2,22,22,2.6666667,11,11,13,15,12,14,15
2875,85138,Urban,26,Male,Black,4,2,1,Single,Employed Full-time,1,2,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Autocracy,3,3,2,2,2,1,2,3,3,3,24,26,2.6666667,17,13,13,21,16,20,8
2020,85226,Urban,41,Male,Other,8,6,3,Single,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,2,3,3,3,2,1,26,24,4,8,18,14,20,10,20,10
2456,85142,Urban,41,Female,White,9,6,4,Married,Employed Full-time,2,2,That the people elect the respective head of state in free elections,Democracy,Autocracy,Autocracy,3,2,3,2,1,3,2,3,2,2,23,24,3.3333333,9,15,14,15,13,12,14
2408,85712,Urban,27,Male,Hispanic,2,3,2,Single,Employed Part-time,2,0,That there is a well-functioning social system,Democracy,Democracy,Democracy,2,2,2,1,1,2,3,3,3,1,20,24,4,9,15,14,19,13,19,10
2319,85737,Urban,42,Male,White,2,3,1,Single,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,0,3,3,3,3,2,3,1,24,18,3,12,11,14,13,17,13,12
1904,85345,Urban,30,Female,White,2,2,5,Single,Employed Part-time,1,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,3,3,3,3,2,1,3,3,2,3,26,22,1.3333334,14,16,14,15,18,17,15
2551,85028,Rural,45,Male,White,2,2,2,Single,Retired,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Autocracy,3,1,1,3,3,3,3,3,2,1,23,27,4.3333335,10,16,15,13,13,15,9
1977,85018,Urban,74,Female,White,8,3,2,Married,Retired,0,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,2,0,3,2,3,0,3,3,3,22,28,3,12,11,15,16,20,18,4
2065,85009,Urban,46,Female,White,2,4,4,Single,Other,0,2,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,2,3,1,2,2,1,3,2,3,3,22,11,3,13,11,15,12,14,13,12
2132,85301,Rural,56,Male,White,1,2,1,Widowed,Unemployed,0,2,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,0,3,3,3,3,3,0,3,24,24,3.6666667,13,14,15,21,15,21,11
2744,85381,Rural,34,Female,Hispanic,5,4,5,Single,Employed Full-time,1,2,That the people elect the respective head of state in free elections,Democracy,Autocracy,Neither,3,3,2,1,3,2,3,3,2,2,24,28,1.3333334,16,8,15,15,11,16,13
2371,85742,Urban,45,Male,Hispanic,5,5,6,Married,Employed Full-time,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,3,2,1,2,2,3,3,2,2,21,29,3.3333333,15,15,16,15,14,14,12
2152,85302,Urban,40,Male,Black,2,1,2,Married,Retired,1,0,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,2,3,2,3,2,2,3,26,24,2,13,11,17,12,15,11,21
2326,85326,Urban,34,Male,Asian,6,5,1,Single,Employed Full-time,1,2,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Democracy,3,2,1,2,0,3,2,3,3,1,20,27,3.3333333,15,12,18,21,18,20,7
1935,85379,Urban,23,Female,White,1,2,4,Married,Other,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,3,3,1,2,3,3,3,1,2,24,28,2.3333333,18,14,18,20,20,21,18
1546,85756,Urban,24,Female,Hispanic,1,3,4,Single,Unemployed,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,3,3,3,2,2,3,3,2,2,26,28,1,8,19,19,11,14,13,15
1760,85225,Urban,25,Male,White,5,3,2,Single,Other,1,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,0,3,27,26,2.6666667,10,14,19,16,11,16,16
1529,85715,Urban,26,Female,Black,1,3,3,Single,Employed Full-time,2,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,2,2,3,3,1,3,26,20,3,12,13,19,14,18,19,12
1556,85011,Urban,35,Female,Black,8,5,5,Married,Employed Full-time,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,2,0,2,3,3,2,2,20,19,3,14,15,19,17,16,13,10
1615,85142,Urban,47,Female,Asian,9,3,2,Married,Other,1,1,That there is no great gap between rich and poor,Democracy,Neither,Democracy,3,3,3,3,2,3,3,2,1,3,26,31,3.3333333,9,18,20,13,21,15,16
2143,85233,Urban,23,Male,Asian,8,5,3,Single,Unemployed,1,0,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,2,2,2,2,2,3,3,2,2,2,22,27,3,11,15,20,14,13,15,14
2053,85004,Urban,40,Male,White,8,6,4,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,3,2,1,3,2,2,2,3,23,21,3.3333333,16,14,20,19,13,17,7
1809,85044,Urban,74,Female,White,7,6,2,Married,Retired,2,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,3,3,3,3,2,2,1,3,3,3,26,36,3.6666667,8,14,21,19,16,17,12
1737,85658,Urban,48,Female,White,9,5,6,Married,Other,1,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,1,3,2,3,3,2,1,3,22,35,5,9,13,21,21,21,21,3
2040,85024,Urban,56,Male,Hispanic,4,2,2,Seperated,Employed Full-time,3,0,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,0,3,27,36,5,9,17,21,21,15,21,3
1712,86426,Urban,37,Male,White,9,6,4,Married,Employed Full-time,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,3,1,3,3,2,3,2,2,24,35,4.3333335,10,18,21,21,9,21,3
2417,85206,Rural,29,Female,White,2,3,6,Single,Unemployed,1,0,That the people elect the respective head of state in free elections,Autocracy,Neither,Democracy,3,1,3,0,1,2,3,3,3,1,20,35,4,11,18,21,17,14,20,7
2570,85015,Urban,44,Female,White,2,3,4,Married,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,1,1,1,2,3,3,3,2,1,20,28,2,13,12,21,18,13,21,17
1937,85378,Urban,33,Female,Hispanic,3,2,1,Single,Employed Part-time,3,2,That there is a well-functioning social system,Democracy,Democracy,Democracy,2,3,2,2,2,2,3,3,2,2,23,24,2.3333333,13,13,21,21,15,15,3
1847,85541,Urban,19,Male,White,2,2,2,Single,Other,0,0,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,2,3,2,3,2,2,2,2,3,3,24,28,3,14,11,21,20,16,15,11
1617,85286,Urban,24,Female,White,1,2,3,Single,Unemployed,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,3,2,3,3,2,3,2,2,25,23,3.3333333,20,17,21,16,16,21,15
1450,85042,Rural,44,Female,White,1,1,6,Married,Unemployed,0,2,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,2,2,2,2,2,2,2,3,2,2,21,20,2.6666667,15,12,8,9,9,12,21
2427,0,Rural,55,Female,White,6,3,4,Seperated,Unemployed,1,1,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,3,3,2,2,3,3,2,2,1,23,31,5,8,14,10,19,8,21,10
2384,85710,Urban,58,Male,White,5,6,5,Married,Employed Part-time,0,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,2,2,3,2,2,2,2,24,19,2.6666667,11,15,10,16,9,16,13
