Respondent ID,Respondant Zip Code,Urban or Rural,Age,Gender,Ethnicity,Income,Education,Household Size,Marital,Employment,Elections: I think elections are fair and reliable Re-scaled see document for rescaling,"Last Election: Didn't Vote 0, Democrat 1, Republican 2",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live?,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions?,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled: 0=no impact 3=high impact,Energy Crisis Re-scaled 0=no impact 3=high impact,Climate Change Re-scaled 0=no impact 3=high impact,Lack of Natural Resources Re-scaled 0=no impact 3=high impact,Militarty Conflicts Re-scaled 0=no impact 3=high impact,Interstate Conflicts Re-scaled 0=no impact 3=high impact,Employment and Livelihood Re-scaled 0=no impact 3=high impact,Infectious Disease Re-scaled 0=no impact 3=high impact,AI Re-scaled 0=no impact 3=high impact,Cybersecurity Re-scaled 0=no impact 3=high impact,Composite Crisis Score (Sum of all Crisis Scores),Systems Thinking Score 0-1,Trust Score 0-1,Conspiracy 0-1,Complexity 0-1,Openness 0-1,Conscientiousness 0-1,Extraversion 0-1,Agreeableness 0-1,Neuroticism 0-1
2117,85119,Rural,36,Female,White,1,2,2,Widowed,Unemployed,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,1,0.666666675,0.4,0.8,0.6666666667,0.6666666667,0.6666666667,1,1
1506,85324,Urban,26,Female,Black,1,2,4,Married,Employed Full-time,0,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.8888888889,0.08333335,0.6,0.8666666667,0.6666666667,0.8888888889,0.6666666667,1,1
2045,85122,Rural,57,Female,White,4,3,1,Single,Other,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,1,3,3,3,3,3,28,0.9444444444,0.5,0.06666666667,0.6666666667,0.7222222222,0.6111111111,0.6111111111,0.7222222222,0.5555555556
2002,85286,Urban,28,Male,Asian,4,2,5,Single,Unemployed,2,0,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.5833333333,0.666666675,0.6,0.5333333333,0.7222222222,0.7777777778,0.8888888889,0.8333333333,0.3333333333
2691,85255,Urban,57,Female,White,9,4,2,Married,Employed Full-time,2,1,That there is no great gap between rich and poor,Democracy,Neither,Democracy,2,3,3,3,3,3,3,3,3,3,29,0.9722222222,0.16666665,0.2,0.6666666667,0.8333333333,0.8888888889,0.7777777778,0.8333333333,0.9444444444
2820,85248,Urban,76,Female,White,6,5,2,Married,Retired,2,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,0.8333333333,0.08333335,0.2,0.8666666667,0.9444444444,1,0.7777777778,0.5,0.6666666667
2474,85087,Rural,34,Male,Hispanic,4,5,1,Single,Employed Full-time,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,3,3,3,3,3,3,3,3,3,3,30,0.7222222222,0.25,0.4,0.3333333333,0.9444444444,0.6666666667,0.5555555556,0.5555555556,0.6111111111
2412,85016,Rural,29,Male,White,2,2,1,Single,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.8333333333,0.25,0.5333333333,0.6666666667,0.9444444444,0.8333333333,0.6111111111,1,0.6111111111
1515,85033,Urban,72,Female,Black,1,3,1,Widowed,Retired,3,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,3,3,2,3,3,3,3,3,29,0.8055555556,0.416666675,0.2,0.7333333333,1,1,0.7222222222,0.7222222222,0.6666666667
1990,85122,Rural,41,Female,Black,5,4,3,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,0.9444444444,0.5,0.2666666667,0.6666666667,1,1,0.6111111111,0.8888888889,0
2777,85350,Urban,41,Male,Hispanic,4,4,6,Married,Employed Full-time,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.8055555556,0.25,0.3333333333,0.6666666667,1,1,1,0.6666666667,0
2736,85937,Rural,33,Female,White,7,0,6,Married,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.8888888889,0.333333325,0.3333333333,0.6,1,1,0.6666666667,1,0.2222222222
2174,85142,Urban,52,Female,Hispanic,1,3,1,Single,Unemployed,0,2,That there is a well-functioning social system,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,1,0.333333325,1,0.8,1,1,1,1,0
1951,85621,Urban,37,Male,Hispanic,1,2,1,Single,Unemployed,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,0.9722222222,0.666666675,1,0.6,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667
2871,85929,Urban,35,Male,White,10,6,3,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,1,0.666666675,1,1,1,1,0.6666666667,0.6666666667,0
2189,85748,Urban,32,Male,Hispanic,5,2,1,Single,Employed Full-time,3,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,1,0.666666675,1,0.6,1,1,0.6666666667,1,0
2755,85035,Urban,27,Male,Hispanic,1,2,1,Single,Unemployed,2,0,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,3,3,3,3,2,3,3,3,29,0.7222222222,0.416666675,0.4666666667,0.4,0.3333333333,0.5,0.6111111111,0.7777777778,0.2222222222
2266,85050,Urban,56,Female,White,4,4,4,Married,Employed Part-time,1,0,That the people elect the respective head of state in free elections,Autocracy,Autocracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,0.6666666667,0.25,0.4666666667,0.7333333333,0.4444444444,0.6111111111,0.6666666667,0.7222222222,0.7222222222
1886,85209,Urban,51,Female,White,7,6,1,Single,Employed Full-time,1,1,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,3,3,2,2,3,3,2,3,3,26,0.5,0.75,0,0.6,0.6666666667,0.8333333333,0.8888888889,0.7777777778,0.2777777778
2235,85209,Urban,54,Female,Asian,8,6,1,Seperated,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,1,0.333333325,0.2,0.6,0.6666666667,1,0.2222222222,0.6666666667,0.2777777778
1709,85705,Urban,35,Male,White,5,2,4,Married,Employed Full-time,2,1,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,2,2,2,3,2,3,2,3,3,3,25,0.75,0.5,0.4666666667,0.5333333333,0.6666666667,0.5,0.5555555556,0.5555555556,0.5555555556
1968,85756,Urban,60,Female,White,4,3,2,Seperated,Unemployed,0,2,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,2,0,0,2,3,3,3,2,3,21,0.75,0.333333325,0.7333333333,0.2,0.6666666667,0.7777777778,0.1666666667,0.5,0.6666666667
2739,85730,Urban,43,Male,White,2,3,6,Married,Unemployed,2,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,3,3,3,2,3,29,0.6111111111,0.5,0,0.7333333333,0.7222222222,0.4444444444,0.3888888889,0.6666666667,0.7222222222
1698,85022,Urban,35,Male,White,8,5,3,Married,Employed Full-time,2,1,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,1,3,2,1,3,3,3,3,2,23,0.75,0.583333325,0,0.8,0.7222222222,0.6111111111,0.6666666667,0.7222222222,0.8888888889
2810,85326,Urban,19,Male,White,7,2,3,Married,Employed Full-time,1,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Neither,3,3,2,2,2,3,3,3,3,2,26,0.8611111111,0.583333325,0.6666666667,0.4,0.7222222222,1,0.5555555556,0.6666666667,0.2222222222
1773,85008,Urban,27,Female,Hispanic,1,2,3,Seperated,Employed Part-time,2,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,2,3,3,3,3,3,2,3,28,0.6666666667,0,0.2,0.6,0.7777777778,1,0.6666666667,0.7222222222,0.6111111111
2187,85037,Urban,35,Male,Hispanic,4,3,6,Married,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,3,3,2,3,3,3,3,29,0.8055555556,0.333333325,0.6,0.6666666667,0.7777777778,0.8333333333,1,0.3888888889,0.1666666667
2021,85282,Urban,43,Male,Hispanic,6,2,2,Single,Unemployed,2,1,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Autocracy,3,3,3,3,3,3,3,3,2,3,29,0.6388888889,0.5,0.2666666667,0.4666666667,0.8333333333,0.9444444444,0.6111111111,0.8888888889,0.05555555556
2662,85037,Urban,61,Female,White,8,5,3,Widowed,Employed Full-time,0,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Neither,3,3,3,3,3,3,3,3,2,3,29,0.7777777778,0.416666675,0.7333333333,0.7333333333,0.8333333333,1,0.7777777778,0.8888888889,0.2222222222
2240,85353,Urban,18,Female,Hispanic,3,3,3,Single,Unemployed,1,0,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,2,3,2,3,2,3,3,3,3,27,0.75,0.16666665,0,0.7333333333,0.8888888889,0.5,0.6666666667,0.8888888889,0.6666666667
2783,85296,Urban,39,Female,White,4,4,3,Single,Employed Full-time,0,0,That I can determine directly/by myself what happens in my country,Autocracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,2,29,0.6944444444,0.5,0.2666666667,0.3333333333,0.8888888889,1,0.7777777778,1,0.1666666667
2787,86403,Urban,57,Female,White,6,5,2,Married,Retired,1,2,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,1,2,3,3,2,3,3,3,26,0.6666666667,0.666666675,0.4,0.3333333333,0.8888888889,1,0.8333333333,0.9444444444,0.1111111111
2748,85635,Rural,34,Female,White,3,3,1,Single,Employed Full-time,1,2,That I can determine directly/by myself what happens in my country,Democracy,Neither,Neither,2,3,2,3,3,2,3,3,3,3,27,0.7222222222,0.416666675,0.6,0.2,0.8888888889,0.8333333333,0.7222222222,0.9444444444,0.8333333333
2025,85202,Rural,22,Male,White,5,2,2,Single,Employed Full-time,1,1,That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,2,3,1,0,3,3,3,2,3,23,0.8611111111,0.16666665,0.6666666667,0.8,0.9444444444,0.8888888889,0.8333333333,0.8888888889,0.7777777778
1846,85003,Urban,49,Male,White,8,5,3,Married,Employed Full-time,1,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,3,3,3,3,3,3,2,27,0.9444444444,0.583333325,0.8666666667,0.8,0.9444444444,1,0.9444444444,0.6666666667,0.05555555556
2877,85001,Urban,38,Male,White,10,6,4,Married,Employed Full-time,3,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Democracy,3,3,2,3,3,2,3,3,3,3,28,0.7777777778,0.583333325,0.3333333333,1,1,0.6666666667,0.6666666667,1,0.2222222222
1504,85022,Rural,27,Male,White,4,4,3,Single,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,2,2,3,2,3,2,3,3,3,3,26,0.5833333333,0.666666675,0.3333333333,0.7333333333,1,0.9444444444,0.6666666667,0.9444444444,0.05555555556
2490,85392,Urban,29,Female,White,3,2,1,Single,Unemployed,0,1,That the people elect the respective head of state in free elections,Democracy,Autocracy,Neither,3,3,1,3,2,3,3,3,2,3,26,0.9444444444,0.666666675,0.6,0.4,1,0.8333333333,0.6111111111,0.8333333333,0.8333333333
1716,85007,Urban,68,Male,White,3,2,1,Single,Retired,3,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Democracy,3,3,3,3,3,3,2,3,2,3,28,0.3888888889,0.25,0.3333333333,0.6666666667,0.1666666667,0.5555555556,0.4444444444,0.6111111111,0.3888888889
2184,85339,Urban,26,Female,White,4,2,4,Single,Unemployed,1,0,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,3,3,2,3,3,3,2,2,27,0.7222222222,0.5,0,0.8,0.5555555556,0.8333333333,0.5,0.7222222222,0.3888888889
1620,85712,Urban,69,Female,Asian,7,6,3,Married,Employed Full-time,0,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,3,2,1,2,2,3,3,3,23,0.3055555556,0.5,0.2,0.7333333333,0.6111111111,0.6666666667,0.5555555556,0.5555555556,0.5
2310,85257,Urban,52,Female,White,2,4,1,Single,Unemployed,1,1,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,3,3,3,3,3,3,3,3,2,2,28,0.7222222222,0.75,0,0.6,0.6666666667,0.8333333333,0.7222222222,0.8888888889,0.5
2503,85002,Urban,36,Male,White,9,6,4,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,2,2,2,2,2,3,3,3,2,24,0.8333333333,0.416666675,0.4,0.6666666667,0.6666666667,0.8888888889,0.5,0.8333333333,0.3333333333
2165,85224,Urban,40,Male,White,3,2,4,Married,Employed Full-time,2,1,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Autocracy,3,3,3,2,2,3,2,2,3,3,26,0.5277777778,0.5,0.4666666667,0.4666666667,0.6666666667,0.5,0.6666666667,0.5,0.7222222222
2288,85006,Urban,48,Male,Hispanic,3,2,2,Seperated,Employed Part-time,1,1,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,3,3,3,2,3,2,3,2,3,26,0.5833333333,0.416666675,0.5333333333,0.6,0.6666666667,0.6111111111,0.6666666667,0.7222222222,0.4444444444
1833,85013,Urban,53,Male,White,8,5,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,3,3,1,2,3,3,3,1,3,25,0.8055555556,0.833333375,0.06666666667,0.5333333333,0.7222222222,0.8333333333,0.8888888889,0.6111111111,0.7777777778
1547,85122,Rural,51,Male,Hispanic,6,2,1,Seperated,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,3,3,2,3,28,0.6111111111,0.416666675,0.4666666667,0.6666666667,0.7777777778,0.9444444444,0.6666666667,0.8888888889,0.1666666667
2874,85338,Urban,29,Male,Asian,1,3,6,Single,Other,0,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,2,2,3,3,3,2,3,3,2,26,0.8333333333,0.583333325,0.5333333333,0.6,0.7777777778,0.8333333333,0.7777777778,0.7222222222,0.4444444444
2496,85255,Urban,58,Male,White,8,5,1,Single,Retired,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,2,3,2,3,3,1,3,3,3,24,0.8611111111,0,0,0.8666666667,0.8333333333,0.9444444444,0.8333333333,0.9444444444,0.5555555556
2678,85142,Urban,22,Male,Hispanic,1,2,1,Single,Employed Full-time,1,0,That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,3,3,3,3,2,3,3,3,2,28,0.8055555556,0.416666675,0.1333333333,0.6,0.8333333333,0.9444444444,0.6666666667,1,0.2222222222
1865,85122,Urban,57,Female,White,3,5,6,Seperated,Unemployed,1,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,2,1,3,2,3,2,3,22,0.9166666667,0.583333325,0.4,0.6666666667,0.8333333333,0.8888888889,0.4444444444,0.7222222222,0.6111111111
2527,85008,Urban,42,Male,White,10,5,5,Married,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Democracy,Democracy,3,2,2,2,2,3,2,3,3,2,24,0.75,0.75,0.4,0.8,0.8333333333,0.8333333333,0.8888888889,0.8888888889,0.5
1496,86442,Urban,33,Male,White,4,3,1,Single,Other,0,0,That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,2,3,3,3,3,2,3,3,3,2,27,0.5833333333,0.25,0.5333333333,0.6666666667,0.8888888889,0.8888888889,0.6111111111,0.7777777778,0.5555555556
2781,85285,Urban,25,Male,Asian,4,6,2,Married,Employed Full-time,3,2,That the people elect the respective head of state in free elections,Autocracy,Democracy,Autocracy,3,3,3,3,3,2,3,3,2,3,28,0.75,0.5,0.1333333333,0.6666666667,0.9444444444,0.8333333333,0.5,0.8888888889,0.2222222222
2250,86047,Rural,18,Male,Native American,5,2,4,Single,Employed Full-time,1,2,That there is no great gap between rich and poor,Democracy,Democracy,Neither,3,3,2,3,2,2,3,3,2,3,26,0.8055555556,0.666666675,0.7333333333,0.8,0.9444444444,0.9444444444,0.6111111111,0.7777777778,0.3888888889
2522,86042,Urban,36,Male,White,10,6,4,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,2,2,3,3,2,3,27,0.8611111111,0.583333325,0.9333333333,0.8666666667,0.9444444444,0.6666666667,0.6111111111,0.8333333333,0.4444444444
2032,85083,Urban,33,Male,White,10,6,4,Married,Employed Part-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,3,3,2,3,28,0.8333333333,0.416666675,0.2666666667,0.7333333333,1,0.9444444444,0.7777777778,0.8333333333,0.2777777778
2549,85926,Urban,35,Male,White,10,6,6,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,2,1,3,3,1,3,3,25,0.4722222222,0.666666675,0.9333333333,0.8,1,1,1,0.6666666667,0.2222222222
1901,85210,Urban,38,Male,White,10,6,5,Married,Employed Full-time,3,2,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,3,2,2,3,2,3,3,24,0.8611111111,0.916666625,0.9333333333,0.8,1,0.5,0.5,0.5,0.1666666667
2231,85706,Urban,35,Female,Hispanic,6,3,5,Married,Employed Full-time,1,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,2,3,2,1,3,3,3,1,2,23,0.5277777778,0.666666675,0.2,0.4666666667,0.2222222222,0.7222222222,0.7777777778,0.8333333333,0.8888888889
2224,85304,Urban,53,Female,Asian,1,3,1,Single,Unemployed,1,2,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,2,3,2,2,3,3,2,2,25,0.5,0.333333325,0.3333333333,0.5333333333,0.3333333333,0.3333333333,0.1666666667,0.8888888889,0.5
1605,85353,Urban,23,Female,Black,1,2,6,Married,Employed Full-time,2,2,That I can determine directly/by myself what happens in my country,Autocracy,Democracy,Autocracy,2,2,0,2,2,3,2,3,3,1,20,0.8611111111,0.333333325,0.8666666667,0.7333333333,0.3333333333,0.3333333333,0.05555555556,1,0.6666666667
2038,86442,Rural,64,Female,White,6,2,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,2,2,2,2,3,2,3,24,0.8333333333,0.333333325,0,0.4666666667,0.5,1,0.6666666667,0.7222222222,0.6111111111
2615,85120,Rural,53,Female,White,1,3,3,Seperated,Unemployed,1,0,That there is no great gap between rich and poor,Autocracy,Neither,Neither,2,2,3,3,2,2,2,3,3,2,24,0.5,0.666666675,0.6,0.6,0.5,0.6111111111,0.7222222222,0.5555555556,0.8888888889
1808,85044,Urban,38,Female,White,4,4,3,Single,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Democracy,Democracy,3,2,3,3,2,2,3,3,3,1,25,0.7222222222,0.666666675,0,0.4666666667,0.5555555556,0.8888888889,0.7777777778,0.8888888889,0.6111111111
2297,85120,Urban,73,Female,White,5,3,2,Married,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,3,2,1,3,3,3,27,0.6111111111,0.833333375,0.06666666667,0.6666666667,0.5555555556,0.7777777778,0.8888888889,0.8333333333,0.7222222222
1938,85008,Urban,47,Male,Hispanic,5,4,4,Single,Employed Full-time,2,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,2,3,2,2,3,3,2,2,25,0.5,0.5,0.2666666667,0.2666666667,0.5555555556,0.5,0.2222222222,0.8888888889,0.3333333333
2791,85716,Rural,44,Male,White,1,2,3,Married,Employed Part-time,2,0,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,2,1,2,2,2,3,3,2,2,22,0.6111111111,0.416666675,0.4,0.4,0.5555555556,0.6666666667,0.5,0.6111111111,0.6666666667
2875,85138,Urban,26,Male,Black,4,2,1,Single,Employed Full-time,1,2,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Autocracy,3,3,2,2,2,1,2,3,3,3,24,0.7222222222,0.416666675,0.8,0.5333333333,0.5555555556,1,0.7222222222,0.9444444444,0.2777777778
2020,85226,Urban,41,Male,Other,8,6,3,Single,Employed Full-time,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,2,3,3,3,2,1,26,0.6666666667,0.75,0.2,0.8666666667,0.6111111111,0.9444444444,0.3888888889,0.9444444444,0.3888888889
2456,85142,Urban,41,Female,White,9,6,4,Married,Employed Full-time,2,2,That the people elect the respective head of state in free elections,Democracy,Autocracy,Autocracy,3,2,3,2,1,3,2,3,2,2,23,0.6666666667,0.583333325,0.2666666667,0.6666666667,0.6111111111,0.6666666667,0.5555555556,0.5,0.6111111111
2408,85712,Urban,27,Male,Hispanic,2,3,2,Single,Employed Part-time,2,0,That there is a well-functioning social system,Democracy,Democracy,Democracy,2,2,2,1,1,2,3,3,3,1,20,0.6666666667,0.75,0.2666666667,0.6666666667,0.6111111111,0.8888888889,0.5555555556,0.8888888889,0.3888888889
2319,85737,Urban,42,Male,White,2,3,1,Single,Employed Full-time,1,0,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,0,3,3,3,3,2,3,1,24,0.5,0.5,0.4666666667,0.4,0.6111111111,0.5555555556,0.7777777778,0.5555555556,0.5
1904,85345,Urban,30,Female,White,2,2,5,Single,Employed Part-time,1,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,3,3,3,3,2,1,3,3,2,3,26,0.6111111111,0.08333335,0.6,0.7333333333,0.6111111111,0.6666666667,0.8333333333,0.7777777778,0.6666666667
2551,85028,Rural,45,Male,White,2,2,2,Single,Retired,3,1,That the people elect the respective head of state in free elections,Democracy,Democracy,Autocracy,3,1,1,3,3,3,3,3,2,1,23,0.75,0.833333375,0.3333333333,0.7333333333,0.6666666667,0.5555555556,0.5555555556,0.6666666667,0.3333333333
1977,85018,Urban,74,Female,White,8,3,2,Married,Retired,0,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,2,0,3,2,3,0,3,3,3,22,0.7777777778,0.5,0.4666666667,0.4,0.6666666667,0.7222222222,0.9444444444,0.8333333333,0.05555555556
2065,85009,Urban,46,Female,White,2,4,4,Single,Other,0,2,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,2,3,1,2,2,1,3,2,3,3,22,0.3055555556,0.5,0.5333333333,0.4,0.6666666667,0.5,0.6111111111,0.5555555556,0.5
